State,n_counties_reporting,most_recent_year_used,mean_mmr_rate,state_name,cases_2026_ytd,cases_5yr_cumulative,coverage_group
AK,7,2024-25,0.79,Alaska,1,5,Below 95%
AL,67,2024-25,0.948068656716418,Alabama,0,1,Below 95%
AZ,15,2024-25,0.8710666666666667,Arizona,24,241,Below 95%
CA,57,2024-25,0.9529680701754386,California,53,119,At/above 95%
CO,64,2024-25,0.8827265625,Colorado,11,51,Below 95%
CT,17,2023-24; 2024-25,0.9771176470588236,Connecticut,1,2,At/above 95%
DC,1,2024-25,0.927,District of Columbia,0,3,Below 95%
FL,67,2024-25,0.907,Florida,141,162,Below 95%
HI,4,2024-25,0.7363,Hawaii,1,6,Below 95%
IA,99,2024-25,0.8823717927272727,Iowa,0,8,Below 95%
ID,44,2024-25,0.7609090909090909,Idaho,3,25,Below 95%
IL,102,2024-25,0.9665686274509804,Illinois,4,90,At/above 95%
IN,92,2024-25,0.913166304347826,Indiana,0,12,Below 95%
KS,105,2024-25,0.8700038095238095,Kansas,1,92,Below 95%
KY,120,2023-24; 2024-25,0.9125348994166668,Kentucky,4,19,Below 95%
LA,63,2024-25,0.9248111111111113,Louisiana,1,7,Below 95%
MA,14,2024-25,0.9507142857142856,Massachusetts,2,3,At/above 95%
MD,24,2024-25,0.9626208333333334,Maryland,3,8,At/above 95%
ME,16,2024-25,0.9713625,Maine,5,5,At/above 95%
MI,82,2023-24; 2024-25,0.8922983276829268,Michigan,14,53,Below 95%
MN,87,2024-25,0.8697471264367816,Minnesota,17,133,Below 95%
MO,115,2024-25,0.9038521739130436,Missouri,0,3,Below 95%
MS,82,2024-25,0.9808146341463416,Mississippi,0,0,At/above 95%
NC,100,2024-25,0.9360710675,North Carolina,20,21,Below 95%
ND,53,2021-22; 2024-25,0.8751584905660378,North Dakota,10,46,Below 95%
NE,93,2019-20; 2021-22; 2022-23; 2024-25,0.9161188763655914,Nebraska,1,2,Below 95%
NH,10,2024-25,0.922,New Hampshire,0,2,Below 95%
NJ,21,2024-25,0.9288095238095238,New Jersey,1,14,Below 95%
NM,33,2024-25,0.9287060606060606,New Mexico,17,118,Below 95%
NV,17,2024-25,0.8657058823529412,Nevada,0,4,Below 95%
NY,62,2024-25,0.992964211532258,New York,13,76,At/above 95%
OH,87,2024-25,0.8991494252873563,Ohio,12,149,Below 95%
OK,77,2024-25,0.8739675324675324,Oklahoma,1,19,Below 95%
OR,36,2024-25,0.8841944444444445,Oregon,24,57,Below 95%
PA,67,2024-25,0.9323880597014924,Pennsylvania,66,92,Below 95%
RI,5,2024-25,0.9524,Rhode Island,2,2,At/above 95%
SC,46,2024-25,0.950695652173913,South Carolina,686,811,At/above 95%
SD,65,2024-25,0.8703076923076923,South Dakota,6,23,Below 95%
TN,95,2022-23; 2023-24; 2024-25,0.9396105263157896,Tennessee,0,12,Below 95%
TX,253,2024-25,0.939970885375494,Texas,48,854,Below 95%
UT,24,2022-23; 2023-24; 2024-25,0.8786684583333333,Utah,498,677,Below 95%
VA,132,2021-22; 2022-23; 2024-25,0.9025530303030304,Virginia,148,157,Below 95%
VT,12,2024-25,0.93,Vermont,1,5,Below 95%
WA,39,2024-25,0.8818205128205128,Washington,40,56,Below 95%
WI,72,2024-25,0.8115277777777777,Wisconsin,2,40,Below 95%
WY,23,2022-23,0.89,Wyoming,0,0,Below 95%
