State,n_counties_reporting,most_recent_year_used,mean_mmr_rate
AK,7,2024-25,0.79
AL,67,2024-25,0.9480686567164179
AZ,15,2024-25,0.8710666666666667
CA,57,2024-25,0.9529680701754386
CO,64,2024-25,0.8827265625
CT,17,2023-24; 2024-25,0.9771176470588235
DC,1,2024-25,0.927
FL,67,2024-25,0.907
HI,4,2024-25,0.7363
IA,99,2024-25,0.8823717927272727
ID,44,2024-25,0.7609090909090909
IL,102,2024-25,0.9665686274509804
IN,92,2024-25,0.9131663043478261
KS,105,2024-25,0.8700038095238095
KY,120,2023-24; 2024-25,0.9125348994166667
LA,63,2024-25,0.9248111111111111
MA,14,2024-25,0.9507142857142857
MD,24,2024-25,0.9626208333333334
ME,16,2024-25,0.9713625
MI,82,2023-24; 2024-25,0.8922983276829268
MN,87,2024-25,0.8697471264367816
MO,115,2024-25,0.9038521739130435
MS,82,2024-25,0.9808146341463415
NC,100,2024-25,0.9360710675
ND,53,2021-22; 2024-25,0.8751584905660378
NE,93,2019-20; 2021-22; 2022-23; 2024-25,0.9161188763655914
NH,10,2024-25,0.922
NJ,21,2024-25,0.9288095238095238
NM,33,2024-25,0.9287060606060606
NV,17,2024-25,0.8657058823529412
NY,62,2024-25,0.9929642115322581
OH,87,2024-25,0.8991494252873563
OK,77,2024-25,0.8739675324675324
OR,36,2024-25,0.8841944444444445
PA,67,2024-25,0.9323880597014925
RI,5,2024-25,0.9523999999999999
SC,46,2024-25,0.950695652173913
SD,65,2024-25,0.8703076923076923
TN,95,2022-23; 2023-24; 2024-25,0.9396105263157895
TX,253,2024-25,0.9399708853754941
UT,24,2022-23; 2023-24; 2024-25,0.8786684583333333
VA,132,2021-22; 2022-23; 2024-25,0.9025530303030304
VT,12,2024-25,0.93
WA,39,2024-25,0.8818205128205128
WI,72,2024-25,0.8115277777777777
WY,23,2022-23,0.89
